Strategy
EMA_100_LLE_Temporal_250_0_PCA_250_0
EMA_2_LLE_Temporal_250_4_PCA_100_8
EMA_50_LLE_Temporal_ExpWindow25_0_PCA_ExpWindow25_0
EMA_150_LLE_Temporal_25_4_PCA_100_3_Head
ARIMA_25_0_200_0_PCA_250_5
ARIMA_ExpWindow25_2_300_0_PCA_150_15
ARIMA_250_0_300_0_PCA_ExpWindow25_13
ARIMA_25_3_200_0_PCA_100_5_Head
GPR_150_4_2_PCA_ExpWindow25_7
GPR_250_3_3_PCA_250_6
GPR_100_0_4_PCA_ExpWindow25_16
GPR_25_1_1_PCA_250_2_Head
GPR_ExpWindow25_3_1_PCA_ExpWindow25_1
GPR_100_0_1_PCA_100_4_Tail
RNN_R_25_1_0_PCA_100_10
RNN_R_250_0_1_PCA_100_7
RNN_R_ExpWindow25_2_0_PCA_ExpWindow25_17
RNN_R_ExpWindow25_2_0_PCA_ExpWindow25_3_Tail
RNN_R_25_0_1_PCA_ExpWindow25_7
EMA_50_LLE_Temporal_ExpWindow25_0_LO
EMA_150_LLE_Temporal_250_2_RP
ARIMA_250_2_300_0_RP
ARIMA_250_2_300_0_LO
GPR_250_3_1_LO
GPR_250_3_1_RP
RNN_R_100_1_2_LO
RNN_R_150_0_1_RP
