Dates,RP,LO
2002-01-24 00:00:00,0.0,-0.0006526788389838722
2002-01-25 00:00:00,0.0,-0.005789439544282118
2002-01-28 00:00:00,0.0,-0.00040725573369014307
2002-01-29 00:00:00,0.0,0.0018016066634416637
2002-01-30 00:00:00,0.0,-0.002110203442479312
2002-01-31 00:00:00,0.0,-0.0016137108961781267
2002-02-01 00:00:00,0.0,0.00031334930157254464
2002-02-04 00:00:00,0.0,0.0031212511635650276
2002-02-05 00:00:00,0.0,-0.0010831125182620771
2002-02-06 00:00:00,0.0,-0.0007006575697826159
2002-02-07 00:00:00,0.0,0.0026396950812844957
2002-02-08 00:00:00,0.0,0.0006331973384831935
2002-02-11 00:00:00,0.0,0.0017384282597671095
2002-02-12 00:00:00,0.0,0.001661440743664547
2002-02-13 00:00:00,0.0,-0.00330995709741199
2002-02-14 00:00:00,0.0,0.0037829991775857066
2002-02-15 00:00:00,0.0,0.0011516411883916511
2002-02-18 00:00:00,0.0,-0.0012613191786722024
2002-02-19 00:00:00,0.0,0.0013186710719005619
2002-02-20 00:00:00,0.0,-0.0017181833131937284
2002-02-21 00:00:00,0.0,-0.0012203318280626149
2002-02-22 00:00:00,0.0,0.0011468970253199697
2002-02-25 00:00:00,0.0,-0.0019416144232507512
2002-02-26 00:00:00,0.0,-0.0029628619652728523
2002-02-27 00:00:00,0.0,0.0014732314904665137
2002-02-28 00:00:00,0.0,0.0021665866365691813
2002-03-01 00:00:00,0.0,0.0007290878268971345
2002-03-04 00:00:00,0.0,0.005211365596636676
2002-03-05 00:00:00,0.0,0.002562162865234651
2002-03-06 00:00:00,0.0,0.0028849439000861
2002-03-07 00:00:00,0.0,0.0016019083891286529
2002-03-08 00:00:00,0.0,-0.004696575092231479
2002-03-11 00:00:00,0.0,0.0017805096095747834
2002-03-12 00:00:00,0.0,-0.0010986858744212748
2002-03-13 00:00:00,0.0,-0.0012426798086069212
2002-03-14 00:00:00,0.0,0.003887540569006183
2002-03-15 00:00:00,0.0,-4.5648163769928995e-05
2002-03-18 00:00:00,0.0,-0.0004571554763422589
2002-03-19 00:00:00,0.0,0.0005924137413676712
2002-03-20 00:00:00,0.0,0.0038821327838384607
2002-03-21 00:00:00,0.0,-2.5872022037111603e-05
2002-03-22 00:00:00,0.0,-0.001666279097562963
2002-03-25 00:00:00,0.0,-0.00026463070509950604
2002-03-26 00:00:00,0.0,0.0009380094134053682
2002-03-27 00:00:00,0.0,-0.001715128296193708
2002-03-28 00:00:00,0.0,0.0002776638633718627
2002-03-29 00:00:00,0.0,-5.1923099834573914e-05
2002-04-01 00:00:00,0.0,0.004168495096416966
2002-04-02 00:00:00,0.0,0.0006512185432220049
2002-04-03 00:00:00,0.0,0.0008312506024601619
2002-04-04 00:00:00,0.0,-0.0009043228147913115
2002-04-05 00:00:00,0.0,0.002245945056372212
2002-04-08 00:00:00,0.0,-0.0024717748130558053
2002-04-09 00:00:00,0.0,0.001518621342541007
2002-04-10 00:00:00,0.0,0.0008801386598676655
2002-04-11 00:00:00,0.0,0.0019383048595653025
2002-04-12 00:00:00,0.0,-0.0012098149040756408
2002-04-15 00:00:00,0.0,0.00013156010171237804
2002-04-16 00:00:00,0.0,0.001294383897832592
2002-04-17 00:00:00,0.0,0.0052585061747941276
2002-04-18 00:00:00,0.0,0.0011871944194854485
2002-04-19 00:00:00,0.0,0.0014521465074328742
2002-04-22 00:00:00,0.0,-0.00022848603533270388
2002-04-23 00:00:00,0.0,-0.0006258466985892859
2002-04-24 00:00:00,0.0,0.002990398906929209
2002-04-25 00:00:00,0.0,0.002250549051587857
2002-04-26 00:00:00,0.0,0.00421274267204327
2002-04-29 00:00:00,0.0,-0.0002613926945030227
2002-04-30 00:00:00,0.0,-0.0018590527699070488
2002-05-01 00:00:00,0.0,0.003975596925299132
2002-05-02 00:00:00,0.0,-0.002484892865630054
2002-05-03 00:00:00,0.0,0.006131012768134164
2002-05-06 00:00:00,0.0,0.0011206477749886893
2002-05-07 00:00:00,0.0,-0.0005985399886615945
2002-05-08 00:00:00,0.0,-0.004275744480082417
2002-05-09 00:00:00,0.0,0.0017616845139080133
2002-05-10 00:00:00,0.0,0.003094612391256214
2002-05-13 00:00:00,0.0,-0.0008108355833030066
2002-05-14 00:00:00,0.0,-0.003040255718351561
2002-05-15 00:00:00,0.0,0.004253335826257354
2002-05-16 00:00:00,0.0,0.00041494546836226185
2002-05-17 00:00:00,0.0,0.0059502951027020435
2002-05-20 00:00:00,0.0,0.0017360148123533319
2002-05-21 00:00:00,0.0,0.0008144330572340129
2002-05-22 00:00:00,0.0,0.0039139611658709095
2002-05-23 00:00:00,0.0,-0.0017026681475041374
2002-05-24 00:00:00,0.0,0.0013708637621129048
2002-05-27 00:00:00,0.0,0.0019862444057295184
2002-05-28 00:00:00,0.0,0.00354631501813534
2002-05-29 00:00:00,0.0,0.0026840860000975895
2002-05-30 00:00:00,0.0,0.0017585315921271212
2002-05-31 00:00:00,0.0,0.00016938550195180676
2002-06-03 00:00:00,0.0,0.004862159275703804
2002-06-04 00:00:00,0.0,-0.0009521025714341188
2002-06-05 00:00:00,0.0,-0.002469468678318083
2002-06-06 00:00:00,0.0,0.0025795457559328575
2002-06-07 00:00:00,0.0,-0.002056526429715246
2002-06-10 00:00:00,0.0,-0.0001713350553345896
2002-06-11 00:00:00,0.0,0.002353471636674766
2002-06-12 00:00:00,0.0,-0.0021118343905816134
2002-06-13 00:00:00,0.0,-0.0012949687911244523
