Names
AUDCAD
AUDCHF
AUDEUR
AUDGBP
AUDHKD
AUDJPY
AUDNZD
AUDSGD
AUDUSD
CADAUD
CADCHF
CADGBP
CADHKD
CADJPY
CADNZD
CADSGD
CADUSD
CHFAUD
CHFCAD
CHFGBP
CHFHKD
CHFJPY
CHFNZD
CHFSGD
CHFUSD
EURAUD
EURCAD
EURCHF
EURGBP
EURHKD
EURJPY
EURNZD
EURSGD
EURUSD
GBPAUD
GBPCAD
GBPCHF
GBPEUR
GBPHKD
GBPJPY
GBPNZD
GBPSGD
GBPUSD
HKDAUD
AUDARS
CADZAR
AUDCZK
HKDJPY
HKDNZD
HKDSGD
AUDKRW
JPYAUD
JPYCAD
JPYCHF
JPYGBP
JPYHKD
JPYNZD
JPYUSD
NZDAUD
NZDCAD
NZDCHF
NZDEUR
NZDGBP
NZDHKD
NZDJPY
NZDSGD
NZDUSD
SGDAUD
SGDCAD
SGDCHF
SGDGBP
SGDHKD
SGDJPY
SGDNZD
SGDUSD
USDAUD
USDBRL
USDCAD
USDCHF
USDCNY
USDDKK
USDEUR
USDGBP
USDHKD
USDIDR
USDINR
USDJPY
USDKRW
USDMXN
USDMYR
USDNOK
USDNZD
USDRUB
USDSEK
USDSGD
USDTHB
USDTWD
USDZAR
XAGUSD
XAUUSD
